scope,source_dataset,target_dataset,category,direction,source_label,target_label,loss_mode,attack_train_fraction,attack_train_image_count,evaluation_attacked_image_count,noise_file,noise_tensor_key,artifact_sha256,protocol_split_sha256,apply_only_to_clean_label,keep_opposite_label_clean,image_size,epsilon,step_size,optimization_steps,effective_batch_size,configured_micro_batch_size,application_order
per_category,mvtec,mvtec,bottle,abnormal_to_normal,1,0,combined,1.0,31,32,noises/mvtec/f1/perturbations/per_category__abnormal_to_normal__combined__bottle.pt,delta,d05a9c39f3f9d4b01296528fdae359b04a98e28d38042400f8fb850ddb02f8c8,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,1,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,bottle,abnormal_to_normal,1,0,global,1.0,31,32,noises/mvtec/f1/perturbations/per_category__abnormal_to_normal__global__bottle.pt,delta,aaa018fb4adde29fbc9e3d93c3fa319e3346755966396bef3450334b48840220,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,1,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,bottle,abnormal_to_normal,1,0,local,1.0,31,32,noises/mvtec/f1/perturbations/per_category__abnormal_to_normal__local__bottle.pt,delta,5c8aa08a4a7169c2f9e7088ed24d65afda08ed7ef3433f317e4fc8b47ef91bb5,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,1,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,bottle,normal_to_abnormal,0,1,combined,1.0,10,10,noises/mvtec/f1/perturbations/per_category__normal_to_abnormal__combined__bottle.pt,delta,c6617e37183fe9ba8cc2b9dc6fc4a0a57adf6a276aea89d264b6e305b56a884c,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,0,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,bottle,normal_to_abnormal,0,1,global,1.0,10,10,noises/mvtec/f1/perturbations/per_category__normal_to_abnormal__global__bottle.pt,delta,c3b902ba6e42808e847c0b13bcf20222079bd4e6d428ed7663a4b4b4597fb01d,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,0,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,bottle,normal_to_abnormal,0,1,local,1.0,10,10,noises/mvtec/f1/perturbations/per_category__normal_to_abnormal__local__bottle.pt,delta,c95c4c34eefb3fd4118607c22bae69f8bb6693d836c4162902455b58cce2c65f,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,0,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,cable,abnormal_to_normal,1,0,combined,1.0,46,46,noises/mvtec/f1/perturbations/per_category__abnormal_to_normal__combined__cable.pt,delta,f05cd094a02d792d293d8e57c29f026ae452eb10134af3d47ae233066fa15555,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,1,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,cable,abnormal_to_normal,1,0,global,1.0,46,46,noises/mvtec/f1/perturbations/per_category__abnormal_to_normal__global__cable.pt,delta,ab512d3ec9a3f9bec990f18e20239afba0ae46f2a56505579c5fe45f6854f4fb,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,1,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,cable,abnormal_to_normal,1,0,local,1.0,46,46,noises/mvtec/f1/perturbations/per_category__abnormal_to_normal__local__cable.pt,delta,4b8c8dba91253f63abdf26a67c8ac910c2e502584dc828d5fd70915a37aef641,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,1,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
per_category,mvtec,mvtec,cable,normal_to_abnormal,0,1,combined,1.0,29,29,noises/mvtec/f1/perturbations/per_category__normal_to_abnormal__combined__cable.pt,delta,a327ebfdf43d79caff38eb5f9a04a1c99a79ed9c9cfe8f684e576635a7acab9a,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,0,True,518,0.03137254901960784,0.00392156862745098,64,8,2,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
