protocol_id,dataset,category,defect_type,label,partition,image_relative_path,mask_relative_path,attack_train_rank,attack_train_stratum_size,evaluation_rank,evaluation_stratum_size,split_seed,evaluation_fraction
test/bottle/good/000,mvtec,bottle,good,0,attack_train,bottle/test/good/000.png,,1,10,0,10,111,0.5
test/bottle/good/001,mvtec,bottle,good,0,attack_train,bottle/test/good/001.png,,3,10,0,10,111,0.5
test/bottle/good/002,mvtec,bottle,good,0,attack_train,bottle/test/good/002.png,,2,10,0,10,111,0.5
test/bottle/good/005,mvtec,bottle,good,0,attack_train,bottle/test/good/005.png,,7,10,0,10,111,0.5
test/bottle/good/006,mvtec,bottle,good,0,attack_train,bottle/test/good/006.png,,5,10,0,10,111,0.5
test/bottle/good/009,mvtec,bottle,good,0,attack_train,bottle/test/good/009.png,,8,10,0,10,111,0.5
test/bottle/good/010,mvtec,bottle,good,0,attack_train,bottle/test/good/010.png,,6,10,0,10,111,0.5
test/bottle/good/014,mvtec,bottle,good,0,attack_train,bottle/test/good/014.png,,10,10,0,10,111,0.5
test/bottle/good/017,mvtec,bottle,good,0,attack_train,bottle/test/good/017.png,,4,10,0,10,111,0.5
test/bottle/good/019,mvtec,bottle,good,0,attack_train,bottle/test/good/019.png,,9,10,0,10,111,0.5
test/bottle/broken_large/000,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/000.png,bottle/ground_truth/broken_large/000_mask.png,13,31,0,32,111,0.5
test/bottle/broken_large/004,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/004.png,bottle/ground_truth/broken_large/004_mask.png,28,31,0,32,111,0.5
test/bottle/broken_large/009,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/009.png,bottle/ground_truth/broken_large/009_mask.png,17,31,0,32,111,0.5
test/bottle/broken_large/010,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/010.png,bottle/ground_truth/broken_large/010_mask.png,26,31,0,32,111,0.5
test/bottle/broken_large/011,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/011.png,bottle/ground_truth/broken_large/011_mask.png,2,31,0,32,111,0.5
test/bottle/broken_large/012,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/012.png,bottle/ground_truth/broken_large/012_mask.png,31,31,0,32,111,0.5
test/bottle/broken_large/013,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/013.png,bottle/ground_truth/broken_large/013_mask.png,4,31,0,32,111,0.5
test/bottle/broken_large/014,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/014.png,bottle/ground_truth/broken_large/014_mask.png,11,31,0,32,111,0.5
test/bottle/broken_large/017,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/017.png,bottle/ground_truth/broken_large/017_mask.png,16,31,0,32,111,0.5
test/bottle/broken_large/019,mvtec,bottle,broken_large,1,attack_train,bottle/test/broken_large/019.png,bottle/ground_truth/broken_large/019_mask.png,29,31,0,32,111,0.5
test/bottle/broken_small/000,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/000.png,bottle/ground_truth/broken_small/000_mask.png,6,31,0,32,111,0.5
test/bottle/broken_small/001,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/001.png,bottle/ground_truth/broken_small/001_mask.png,14,31,0,32,111,0.5
test/bottle/broken_small/003,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/003.png,bottle/ground_truth/broken_small/003_mask.png,7,31,0,32,111,0.5
test/bottle/broken_small/004,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/004.png,bottle/ground_truth/broken_small/004_mask.png,22,31,0,32,111,0.5
test/bottle/broken_small/006,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/006.png,bottle/ground_truth/broken_small/006_mask.png,27,31,0,32,111,0.5
test/bottle/broken_small/007,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/007.png,bottle/ground_truth/broken_small/007_mask.png,9,31,0,32,111,0.5
test/bottle/broken_small/008,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/008.png,bottle/ground_truth/broken_small/008_mask.png,30,31,0,32,111,0.5
test/bottle/broken_small/010,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/010.png,bottle/ground_truth/broken_small/010_mask.png,1,31,0,32,111,0.5
test/bottle/broken_small/011,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/011.png,bottle/ground_truth/broken_small/011_mask.png,5,31,0,32,111,0.5
test/bottle/broken_small/012,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/012.png,bottle/ground_truth/broken_small/012_mask.png,15,31,0,32,111,0.5
test/bottle/broken_small/015,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/015.png,bottle/ground_truth/broken_small/015_mask.png,8,31,0,32,111,0.5
test/bottle/broken_small/018,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/018.png,bottle/ground_truth/broken_small/018_mask.png,25,31,0,32,111,0.5
test/bottle/broken_small/019,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/019.png,bottle/ground_truth/broken_small/019_mask.png,20,31,0,32,111,0.5
test/bottle/broken_small/020,mvtec,bottle,broken_small,1,attack_train,bottle/test/broken_small/020.png,bottle/ground_truth/broken_small/020_mask.png,10,31,0,32,111,0.5
test/bottle/contamination/001,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/001.png,bottle/ground_truth/contamination/001_mask.png,24,31,0,32,111,0.5
test/bottle/contamination/002,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/002.png,bottle/ground_truth/contamination/002_mask.png,21,31,0,32,111,0.5
test/bottle/contamination/006,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/006.png,bottle/ground_truth/contamination/006_mask.png,12,31,0,32,111,0.5
test/bottle/contamination/012,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/012.png,bottle/ground_truth/contamination/012_mask.png,23,31,0,32,111,0.5
test/bottle/contamination/013,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/013.png,bottle/ground_truth/contamination/013_mask.png,18,31,0,32,111,0.5
test/bottle/contamination/015,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/015.png,bottle/ground_truth/contamination/015_mask.png,19,31,0,32,111,0.5
test/bottle/contamination/020,mvtec,bottle,contamination,1,attack_train,bottle/test/contamination/020.png,bottle/ground_truth/contamination/020_mask.png,3,31,0,32,111,0.5
test/cable/good/002,mvtec,cable,good,0,attack_train,cable/test/good/002.png,,17,29,0,29,111,0.5
test/cable/good/003,mvtec,cable,good,0,attack_train,cable/test/good/003.png,,27,29,0,29,111,0.5
test/cable/good/004,mvtec,cable,good,0,attack_train,cable/test/good/004.png,,6,29,0,29,111,0.5
test/cable/good/009,mvtec,cable,good,0,attack_train,cable/test/good/009.png,,10,29,0,29,111,0.5
test/cable/good/011,mvtec,cable,good,0,attack_train,cable/test/good/011.png,,2,29,0,29,111,0.5
test/cable/good/012,mvtec,cable,good,0,attack_train,cable/test/good/012.png,,20,29,0,29,111,0.5
test/cable/good/014,mvtec,cable,good,0,attack_train,cable/test/good/014.png,,25,29,0,29,111,0.5
test/cable/good/018,mvtec,cable,good,0,attack_train,cable/test/good/018.png,,21,29,0,29,111,0.5
test/cable/good/019,mvtec,cable,good,0,attack_train,cable/test/good/019.png,,5,29,0,29,111,0.5
test/cable/good/020,mvtec,cable,good,0,attack_train,cable/test/good/020.png,,18,29,0,29,111,0.5
test/cable/good/021,mvtec,cable,good,0,attack_train,cable/test/good/021.png,,12,29,0,29,111,0.5
test/cable/good/022,mvtec,cable,good,0,attack_train,cable/test/good/022.png,,15,29,0,29,111,0.5
test/cable/good/023,mvtec,cable,good,0,attack_train,cable/test/good/023.png,,11,29,0,29,111,0.5
test/cable/good/025,mvtec,cable,good,0,attack_train,cable/test/good/025.png,,14,29,0,29,111,0.5
test/cable/good/027,mvtec,cable,good,0,attack_train,cable/test/good/027.png,,24,29,0,29,111,0.5
test/cable/good/029,mvtec,cable,good,0,attack_train,cable/test/good/029.png,,29,29,0,29,111,0.5
test/cable/good/031,mvtec,cable,good,0,attack_train,cable/test/good/031.png,,23,29,0,29,111,0.5
test/cable/good/036,mvtec,cable,good,0,attack_train,cable/test/good/036.png,,13,29,0,29,111,0.5
test/cable/good/038,mvtec,cable,good,0,attack_train,cable/test/good/038.png,,4,29,0,29,111,0.5
test/cable/good/039,mvtec,cable,good,0,attack_train,cable/test/good/039.png,,22,29,0,29,111,0.5
test/cable/good/043,mvtec,cable,good,0,attack_train,cable/test/good/043.png,,28,29,0,29,111,0.5
test/cable/good/044,mvtec,cable,good,0,attack_train,cable/test/good/044.png,,7,29,0,29,111,0.5
test/cable/good/045,mvtec,cable,good,0,attack_train,cable/test/good/045.png,,3,29,0,29,111,0.5
test/cable/good/049,mvtec,cable,good,0,attack_train,cable/test/good/049.png,,19,29,0,29,111,0.5
test/cable/good/050,mvtec,cable,good,0,attack_train,cable/test/good/050.png,,26,29,0,29,111,0.5
test/cable/good/051,mvtec,cable,good,0,attack_train,cable/test/good/051.png,,1,29,0,29,111,0.5
test/cable/good/054,mvtec,cable,good,0,attack_train,cable/test/good/054.png,,9,29,0,29,111,0.5
test/cable/good/055,mvtec,cable,good,0,attack_train,cable/test/good/055.png,,16,29,0,29,111,0.5
test/cable/good/057,mvtec,cable,good,0,attack_train,cable/test/good/057.png,,8,29,0,29,111,0.5
test/cable/bent_wire/002,mvtec,cable,bent_wire,1,attack_train,cable/test/bent_wire/002.png,cable/ground_truth/bent_wire/002_mask.png,14,46,0,46,111,0.5
test/cable/bent_wire/006,mvtec,cable,bent_wire,1,attack_train,cable/test/bent_wire/006.png,cable/ground_truth/bent_wire/006_mask.png,3,46,0,46,111,0.5
