scope,source_dataset,target_dataset,transfer_setting,direction,source_label,target_label,loss_mode,attack_train_fraction,attack_train_image_count,evaluation_attacked_image_count,noise_file,noise_tensor_key,artifact_sha256,protocol_split_sha256,evaluation_ids_source,apply_only_to_clean_label,keep_opposite_label_clean,image_size,epsilon,step_size,optimization_steps,application_order
dataset,mvtec,mvtec,same_dataset,abnormal_to_normal,1,0,combined,1.0,630,628,noises/mvtec/f1/perturbations/dataset__abnormal_to_normal__combined.pt,delta,6460f754540cd5be753064741ad453656a97a63efef6582ac9ef0f2f9265bf09,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,mvtec,same_dataset,abnormal_to_normal,1,0,global,1.0,630,628,noises/mvtec/f1/perturbations/dataset__abnormal_to_normal__global.pt,delta,ec13eb356b8ffed2007ecf77b59ff5c4b547dd454cb34d847988e488ce3b901f,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,mvtec,same_dataset,abnormal_to_normal,1,0,local,1.0,630,628,noises/mvtec/f1/perturbations/dataset__abnormal_to_normal__local.pt,delta,d7db823bf693e6a99741ab42aa2b269ba2a71a18aba358922b2300e6e12e2cca,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,mvtec,same_dataset,normal_to_abnormal,0,1,combined,1.0,234,233,noises/mvtec/f1/perturbations/dataset__normal_to_abnormal__combined.pt,delta,96da4e6cd84d5f408d1c9886633eea3ba1cd8287514cdd5923141b232b57fd17,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,mvtec,same_dataset,normal_to_abnormal,0,1,global,1.0,234,233,noises/mvtec/f1/perturbations/dataset__normal_to_abnormal__global.pt,delta,00e08abf9c5beaecee30e26f5850a7975a240ec34993c737ba62d344fc26c65d,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,mvtec,same_dataset,normal_to_abnormal,0,1,local,1.0,234,233,noises/mvtec/f1/perturbations/dataset__normal_to_abnormal__local.pt,delta,4ea64e20420c106b17a5dc8246ec9d57e3f978a2a7ba98377038b13b65f86837,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,visa,cross_dataset,abnormal_to_normal,1,0,combined,1.0,630,600,noises/mvtec/f1/perturbations/dataset__abnormal_to_normal__combined.pt,delta,6460f754540cd5be753064741ad453656a97a63efef6582ac9ef0f2f9265bf09,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,visa,cross_dataset,abnormal_to_normal,1,0,global,1.0,630,600,noises/mvtec/f1/perturbations/dataset__abnormal_to_normal__global.pt,delta,ec13eb356b8ffed2007ecf77b59ff5c4b547dd454cb34d847988e488ce3b901f,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,visa,cross_dataset,abnormal_to_normal,1,0,local,1.0,630,600,noises/mvtec/f1/perturbations/dataset__abnormal_to_normal__local.pt,delta,d7db823bf693e6a99741ab42aa2b269ba2a71a18aba358922b2300e6e12e2cca,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,1,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
dataset,mvtec,visa,cross_dataset,normal_to_abnormal,0,1,combined,1.0,234,480,noises/mvtec/f1/perturbations/dataset__normal_to_abnormal__combined.pt,delta,96da4e6cd84d5f408d1c9886633eea3ba1cd8287514cdd5923141b232b57fd17,b65ef698fea54bdf5d64ee8a4329ebcbd44b0e8615bb35d960aa2facca13dad9,evaluation_test_indices.csv,0,True,518,0.03137254901960784,0.00784313725490196,500,"load RGB [0,1] -> resize 518x518 -> clamp(clean + delta,0,1) -> target model default preprocessing"
